campaign_id,repeat_index,run_id,clock_div0,clock_div1,desired_baud,target_packets,receiver_timeout_s,rx_base_freq_hz,deviation_hz,rx_data_rate_baud,rx_bandwidth_hz,tag_serial_log,receiver_raw_log,notes
20260421_235633,2,d32_d28_b100k,32,28,100000,200,180,2454185211,279296,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d28_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d28_b100k\repeat_02_receiver_raw.txt,from_summary
20260421_235633,2,d34_d28_b100k,34,28,100000,200,180,2454070159,406250,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d28_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d28_b100k\repeat_02_receiver_raw.txt,from_summary
20260421_235633,2,d32_d30_b100k,32,30,100000,200,180,2454036437,139648,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d30_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d30_b100k\repeat_02_receiver_raw.txt,from_summary
20260421_235633,2,d34_d30_b100k,34,30,100000,200,180,2453921386,253906,99975,650000,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d30_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d30_b100k\repeat_02_receiver_raw.txt,from_summary
20260421_235633,2,d36_d30_b100k,36,30,100000,200,180,2453819427,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d30_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d30_b100k\repeat_02_receiver_raw.txt,from_summary
20260421_235633,2,d34_d32_b100k,34,32,100000,200,180,2453791259,126953,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d32_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d32_b100k\repeat_02_receiver_raw.txt,from_summary
20260421_235633,2,d36_d32_b100k,36,32,100000,200,180,2453688903,228515,99975,541666,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d32_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d32_b100k\repeat_02_receiver_raw.txt,from_summary
20260421_235633,2,d36_d34_b100k,36,34,100000,200,180,2453574249,114257,99975,325000,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d34_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d34_b100k\repeat_02_receiver_raw.txt,from_summary
20260421_235633,3,d18_d16_b100k,18,16,100000,200,180,2457378082,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d18_d16_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d18_d16_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d20_d18_b100k,20,18,100000,200,180,2456596923,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d20_d18_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d20_d18_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d22_d20_b100k,22,20,100000,200,180,2455965728,304687,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d22_d20_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d22_d20_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d24_d22_b100k,24,22,100000,200,180,2455444824,253906,99975,650000,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d24_d22_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d24_d22_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d26_d22_b100k,26,22,100000,200,180,2455244476,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d22_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d22_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d26_d24_b100k,26,24,100000,200,180,2455007629,203125,99975,541666,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d24_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d24_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d28_d24_b100k,28,24,100000,200,180,2454836242,380859,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d24_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d24_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d28_d26_b100k,28,26,100000,200,180,2454635894,177734,99975,464285,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d26_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d26_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d30_d26_b100k,30,26,100000,200,180,2454487121,330078,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d30_d26_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d30_d26_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d32_d26_b100k,32,26,100000,200,180,2454356597,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d26_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d26_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d30_d28_b100k,30,28,100000,200,180,2454315338,152343,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d30_d28_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d30_d28_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d32_d28_b100k,32,28,100000,200,180,2454185211,279296,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d28_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d28_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d34_d28_b100k,34,28,100000,200,180,2454070159,406250,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d28_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d28_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d32_d30_b100k,32,30,100000,200,180,2454036437,139648,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d30_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d30_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d34_d30_b100k,34,30,100000,200,180,2453921386,253906,99975,650000,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d30_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d30_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d36_d30_b100k,36,30,100000,200,180,2453819427,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d30_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d30_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d34_d32_b100k,34,32,100000,200,180,2453791259,126953,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d32_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d32_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d36_d32_b100k,36,32,100000,200,180,2453688903,228515,99975,541666,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d32_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d32_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,3,d36_d34_b100k,36,34,100000,200,180,2453574249,114257,99975,325000,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d34_b100k\repeat_03_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d34_b100k\repeat_03_receiver_raw.txt,from_summary
20260421_235633,4,d18_d16_b100k,18,16,100000,200,180,2457378082,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d18_d16_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d18_d16_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d20_d18_b100k,20,18,100000,200,180,2456596923,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d20_d18_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d20_d18_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d22_d20_b100k,22,20,100000,200,180,2455965728,304687,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d22_d20_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d22_d20_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d24_d22_b100k,24,22,100000,200,180,2455444824,253906,99975,650000,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d24_d22_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d24_d22_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d26_d22_b100k,26,22,100000,200,180,2455244476,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d22_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d22_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d26_d24_b100k,26,24,100000,200,180,2455007629,203125,99975,541666,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d24_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d24_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d28_d24_b100k,28,24,100000,200,180,2454836242,380859,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d24_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d24_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d28_d26_b100k,28,26,100000,200,180,2454635894,177734,99975,464285,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d26_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d26_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d30_d26_b100k,30,26,100000,200,180,2454487121,330078,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d30_d26_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d30_d26_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d32_d26_b100k,32,26,100000,200,180,2454356597,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d26_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d26_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d30_d28_b100k,30,28,100000,200,180,2454315338,152343,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d30_d28_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d30_d28_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d32_d28_b100k,32,28,100000,200,180,2454185211,279296,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d28_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d28_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d34_d28_b100k,34,28,100000,200,180,2454070159,406250,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d28_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d28_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d32_d30_b100k,32,30,100000,200,180,2454036437,139648,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d30_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d32_d30_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d34_d30_b100k,34,30,100000,200,180,2453921386,253906,99975,650000,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d30_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d30_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d36_d30_b100k,36,30,100000,200,180,2453819427,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d30_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d30_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d34_d32_b100k,34,32,100000,200,180,2453791259,126953,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d32_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d34_d32_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d36_d32_b100k,36,32,100000,200,180,2453688903,228515,99975,541666,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d32_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d32_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,4,d36_d34_b100k,36,34,100000,200,180,2453574249,114257,99975,325000,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d34_b100k\repeat_04_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d36_d34_b100k\repeat_04_receiver_raw.txt,from_summary
20260421_235633,5,d18_d16_b100k,18,16,100000,200,180,2457378082,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d18_d16_b100k\repeat_05_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d18_d16_b100k\repeat_05_receiver_raw.txt,from_summary
20260421_235633,5,d20_d18_b100k,20,18,100000,200,180,2456596923,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d20_d18_b100k\repeat_05_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d20_d18_b100k\repeat_05_receiver_raw.txt,from_summary
20260421_235633,5,d22_d20_b100k,22,20,100000,200,180,2455965728,304687,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d22_d20_b100k\repeat_05_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d22_d20_b100k\repeat_05_receiver_raw.txt,from_summary
20260421_235633,5,d24_d22_b100k,24,22,100000,200,180,2455444824,253906,99975,650000,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d24_d22_b100k\repeat_05_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d24_d22_b100k\repeat_05_receiver_raw.txt,from_summary
20260421_235633,5,d26_d22_b100k,26,22,100000,200,180,2455244476,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d22_b100k\repeat_05_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d22_b100k\repeat_05_receiver_raw.txt,from_summary
20260421_235633,5,d26_d24_b100k,26,24,100000,200,180,2455007629,203125,99975,541666,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d24_b100k\repeat_05_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d26_d24_b100k\repeat_05_receiver_raw.txt,from_summary
20260421_235633,5,d28_d24_b100k,28,24,100000,200,180,2454836242,380859,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d24_b100k\repeat_05_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d24_b100k\repeat_05_receiver_raw.txt,from_summary
20260421_235633,5,d28_d26_b100k,28,26,100000,200,180,2454635894,177734,99975,464285,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d26_b100k\repeat_05_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_235633\raw\d28_d26_b100k\repeat_05_receiver_raw.txt,from_summary
